Size, Seq, Par, Libc
0, 0.000000, 0.001388, 0.000001
1000000, 0.326352, 1.457298, 0.275881
2000000, 0.689606, 1.385027, 0.644390
3000000, 0.957580, 1.481724, 0.606977
4000000, 0.830958, 1.007413, 0.746907
5000000, 1.077953, 1.165344, 0.917380
6000000, 1.287165, 1.297733, 1.128304
7000000, 1.525828, 1.588718, 1.346394
8000000, 1.831783, 1.753655, 1.502549
9000000, 1.962758, 1.710438, 1.774118
10000000, 2.294085, 2.073667, 1.953647
11000000, 2.493267, 1.991239, 2.158262
12000000, 2.614079, 2.191287, 2.376869
13000000, 2.920693, 2.459910, 2.727477
14000000, 3.095389, 2.677435, 3.013537
15000000, 3.520842, 2.965715, 3.201165
0, 0.000000, 0.000648, 0.000001
1000000, 0.193548, 1.039149, 0.167308
2000000, 0.385742, 0.947500, 0.340022
3000000, 0.592634, 0.943541, 0.531036
4000000, 0.836418, 1.115491, 0.758572
5000000, 1.080982, 1.243027, 0.903625
6000000, 1.248878, 1.287298, 1.136618
7000000, 1.482304, 1.506822, 1.325421
8000000, 1.756897, 1.666981, 1.537396
9000000, 1.968797, 1.730799, 1.712770
10000000, 2.133279, 1.871245, 1.879181
11000000, 2.500446, 2.094777, 2.146018
12000000, 2.679044, 2.100225, 2.339051
13000000, 2.824419, 2.394223, 2.634884
14000000, 3.229330, 2.602271, 2.939355
15000000, 3.364988, 2.683043, 2.984581
0, 0.000000, 0.001812, 0.000001
1000000, 0.542786, 0.919917, 0.162291
2000000, 0.380590, 0.808984, 0.347365
3000000, 0.592172, 0.979913, 0.530757
4000000, 0.787227, 1.209343, 0.684077
5000000, 1.012752, 1.092965, 0.859772
6000000, 1.265557, 1.371929, 1.115781
7000000, 1.450535, 1.452096, 1.374667
8000000, 1.716233, 1.562689, 1.503649
9000000, 1.961675, 1.794222, 1.719930
10000000, 2.206043, 2.052055, 1.992827
11000000, 2.385371, 1.945644, 2.342318
12000000, 2.849587, 2.402103, 2.442459
13000000, 2.811338, 2.520934, 2.653935
14000000, 3.173247, 2.345405, 2.838709
15000000, 3.395130, 2.650574, 2.997123
0, 0.000000, 0.001305, 0.000001
1000000, 0.185744, 0.933389, 0.169284
2000000, 0.394388, 0.870214, 0.342150
3000000, 1.146185, 0.899020, 0.523949
4000000, 0.877267, 0.985676, 0.710488
5000000, 1.043650, 1.146599, 1.317360
6000000, 2.146798, 1.276221, 1.185142
7000000, 1.471414, 1.586573, 1.363271
8000000, 2.122495, 1.741981, 1.569183
9000000, 2.028488, 2.017978, 1.820569
10000000, 2.392676, 1.840608, 2.013848
11000000, 2.368916, 2.129247, 2.081479
12000000, 2.628555, 2.209998, 2.431662
13000000, 3.384313, 2.430027, 2.614001
14000000, 3.067779, 2.532101, 3.642266
15000000, 3.662721, 2.732845, 2.937309
0, 0.000000, 0.000982, 0.000000
1000000, 0.274473, 1.057375, 0.160013
2000000, 0.394825, 0.897489, 0.321104
3000000, 0.595221, 0.862397, 0.523551
4000000, 0.880544, 0.991794, 0.713379
5000000, 1.023057, 1.253870, 0.920174
6000000, 1.493920, 1.369803, 1.310373
7000000, 1.502743, 1.598210, 1.425186
8000000, 1.723229, 1.869058, 1.496993
9000000, 2.023790, 1.807574, 1.765874
10000000, 2.305914, 2.020570, 1.956163
11000000, 2.573068, 2.192517, 2.391490
12000000, 2.822124, 2.361005, 2.230520
13000000, 2.716291, 2.590962, 2.505217
14000000, 3.096969, 2.807379, 2.792915
15000000, 3.197419, 2.827362, 2.934104
0, 0.000000, 0.000537, 0.000000
1000000, 0.178379, 1.061743, 0.154829
2000000, 0.364925, 0.946789, 0.333053
3000000, 0.620378, 0.948676, 0.560246
4000000, 0.877863, 1.331092, 0.734616
5000000, 1.029494, 1.266039, 0.896225
6000000, 1.248926, 1.299715, 1.138210
7000000, 1.409868, 1.600538, 1.265585
8000000, 1.643172, 1.536745, 1.486814
9000000, 1.847391, 1.654876, 1.753364
10000000, 2.129058, 1.843511, 1.941134
11000000, 2.323633, 2.119193, 2.263583
12000000, 3.220249, 5.352130, 5.688258
13000000, 3.437283, 2.917664, 2.976978
14000000, 3.307297, 3.098746, 2.991369
15000000, 3.834250, 3.153692, 3.608965
0, 0.000000, 0.000606, 0.000000
1000000, 0.179733, 0.988402, 0.184718
2000000, 0.431336, 0.950337, 0.340269
3000000, 0.644858, 0.911684, 0.521217
4000000, 0.803032, 1.028201, 0.774933
5000000, 1.089318, 1.560337, 0.965045
6000000, 1.349949, 1.541354, 1.066380
7000000, 1.455203, 1.582182, 1.311297
8000000, 1.699399, 1.782645, 1.515791
9000000, 2.033338, 2.175370, 1.739807
10000000, 2.120857, 1.988054, 1.945428
11000000, 2.378625, 2.193711, 2.152825
12000000, 2.484091, 2.445273, 2.354708
13000000, 2.871569, 2.572938, 2.520275
14000000, 3.080214, 2.665585, 2.837782
15000000, 3.507658, 3.219330, 3.388983
0, 0.000000, 0.000693, 0.000001
1000000, 0.189068, 1.049025, 0.166217
2000000, 0.373832, 1.015307, 0.342020
3000000, 0.570732, 0.860349, 0.530125
4000000, 0.826205, 1.132224, 0.691129
5000000, 1.042094, 1.244295, 0.896855
6000000, 1.252616, 1.437462, 1.092459
7000000, 1.416779, 1.467239, 1.243789
8000000, 1.712755, 1.834877, 1.447335
9000000, 1.875629, 1.852202, 1.713866
10000000, 2.283825, 2.049156, 1.924235
11000000, 2.392667, 2.197263, 2.183402
12000000, 2.636185, 2.772426, 2.655871
13000000, 2.869302, 2.538372, 2.719285
14000000, 3.006944, 2.679887, 2.862845
15000000, 3.228602, 2.902191, 3.015299
0, 0.000000, 0.000719, 0.000001
1000000, 0.189674, 1.325941, 0.169613
2000000, 0.389565, 1.103298, 0.339176
3000000, 0.563243, 1.118015, 0.509614
4000000, 0.817342, 1.109068, 0.753279
5000000, 1.002928, 1.232978, 0.872641
6000000, 1.241501, 1.318616, 1.100402
7000000, 1.453988, 1.593554, 1.312362
8000000, 1.655885, 1.726412, 1.534622
9000000, 1.904811, 1.822542, 1.737155
10000000, 2.125591, 2.189115, 1.920000
11000000, 2.368441, 2.213436, 2.130587
12000000, 2.603710, 2.486392, 2.328052
13000000, 2.851806, 2.454866, 2.552303
14000000, 3.156380, 2.551125, 2.965531
15000000, 3.300993, 2.913394, 3.006956
0, 0.000000, 0.000553, 0.000001
1000000, 0.176062, 1.024955, 0.155580
2000000, 0.391965, 1.149551, 0.342977
3000000, 0.607936, 1.147445, 0.538801
4000000, 0.802576, 1.200123, 0.725517
5000000, 0.996588, 1.184379, 0.940402
6000000, 1.266510, 1.333191, 1.150680
7000000, 1.465618, 1.826814, 1.332588
8000000, 1.635205, 1.630207, 1.534530
9000000, 1.904412, 1.887055, 1.804932
10000000, 2.126727, 2.123375, 2.078315
11000000, 2.397989, 2.268174, 2.129961
12000000, 2.589212, 2.322428, 2.356256
13000000, 2.823820, 2.496530, 2.550905
14000000, 3.018593, 2.817833, 2.738286
15000000, 3.346653, 3.159643, 2.931906
0, 0.000000, 0.000586, 0.000000
1000000, 0.186659, 1.016349, 0.173772
2000000, 0.392621, 1.055392, 0.376642
3000000, 0.598914, 1.110143, 0.524720
4000000, 0.835055, 1.091754, 0.737493
5000000, 1.012193, 1.276691, 0.942148
6000000, 1.238221, 1.544517, 1.119486
7000000, 1.488831, 1.699147, 1.298045
8000000, 1.689951, 1.761090, 1.407800
9000000, 1.919351, 1.845491, 1.726372
10000000, 2.209897, 2.044535, 1.934771
11000000, 2.401122, 2.213694, 2.105354
12000000, 2.555662, 2.409277, 2.187942
13000000, 2.888443, 2.543695, 2.530513
14000000, 3.056112, 2.650588, 2.782919
15000000, 3.332218, 2.832986, 2.974119
0, 0.000000, 0.001203, 0.000000
1000000, 0.202513, 0.937484, 0.168805
2000000, 0.393692, 1.020142, 0.347581
3000000, 0.598642, 0.961746, 0.530563
4000000, 0.759491, 1.078456, 0.692975
5000000, 1.021034, 1.275478, 0.927914
6000000, 1.251850, 1.259539, 1.120399
7000000, 1.533767, 1.699241, 1.334982
8000000, 1.645570, 1.735518, 1.501006
9000000, 1.868171, 1.972393, 1.726395
10000000, 2.090895, 2.016445, 1.913838
11000000, 2.289439, 2.163297, 2.150416
12000000, 2.534361, 2.344114, 2.299305
13000000, 2.841867, 2.531017, 2.536328
14000000, 2.936086, 2.676002, 2.656127
15000000, 3.228585, 2.925995, 2.937933
0, 0.000000, 0.000627, 0.000001
1000000, 0.197267, 0.913392, 0.154898
2000000, 0.357867, 0.886119, 0.331363
3000000, 0.604973, 1.113161, 0.527254
4000000, 0.776904, 1.172403, 0.672850
5000000, 1.001110, 1.200912, 0.906994
6000000, 1.282792, 1.561266, 1.106256
7000000, 1.472259, 1.578582, 1.243122
8000000, 1.694838, 1.926923, 1.528233
9000000, 1.940327, 1.837902, 1.704131
10000000, 2.161826, 2.061965, 1.963684
11000000, 2.387975, 2.236563, 2.121051
12000000, 2.812474, 2.607193, 2.517597
13000000, 2.810109, 2.438419, 2.731829
14000000, 3.322326, 2.550728, 3.132285
15000000, 4.068038, 3.164952, 3.385589
0, 0.000000, 0.000502, 0.000000
1000000, 0.206007, 1.282557, 0.160463
2000000, 0.373032, 0.939527, 0.324840
3000000, 0.612883, 0.995889, 0.562041
4000000, 0.840948, 1.202352, 0.729945
5000000, 0.980489, 1.449817, 0.957197
6000000, 1.307076, 1.504584, 1.156642
7000000, 1.389302, 1.664158, 1.334837
8000000, 1.742979, 1.777967, 1.754973
9000000, 2.269092, 2.134481, 1.770615
10000000, 2.518288, 2.848009, 2.052478
11000000, 2.569186, 2.450643, 2.295752
12000000, 2.819699, 2.904081, 2.776127
13000000, 3.159903, 2.710377, 2.694626
14000000, 3.470748, 2.719090, 3.235031
15000000, 4.192023, 2.885257, 3.424612
0, 0.000000, 0.000604, 0.000001
1000000, 0.223041, 1.518200, 0.210148
2000000, 0.491195, 1.106085, 0.379794
3000000, 0.684806, 1.102130, 0.546855
4000000, 0.853684, 1.036845, 0.677568
5000000, 1.112473, 1.343812, 0.953029
6000000, 1.389506, 1.660713, 1.111046
7000000, 1.507388, 1.644941, 1.535638
8000000, 1.746417, 2.103318, 1.546023
9000000, 2.021827, 2.075550, 1.924517
10000000, 2.322190, 2.257238, 2.073238
11000000, 2.495565, 2.080976, 2.139122
12000000, 2.658216, 2.162141, 2.300665
13000000, 2.740479, 2.366099, 2.430145
14000000, 3.128630, 2.619336, 2.870496
15000000, 3.438215, 2.687879, 3.090097
0, 0.000000, 0.000530, 0.000000
1000000, 0.199981, 0.882795, 0.159075
2000000, 0.368052, 0.942700, 0.362436
3000000, 0.611946, 1.126229, 0.582287
4000000, 0.893949, 1.179424, 0.734208
5000000, 1.087275, 1.394321, 0.970904
6000000, 1.368705, 1.489964, 1.137307
7000000, 1.479870, 1.454379, 1.299003
8000000, 1.773204, 1.769247, 1.802049
9000000, 1.899824, 1.852456, 1.675026
10000000, 2.092939, 1.940639, 1.919323
11000000, 2.451137, 2.133692, 2.132874
12000000, 2.575274, 2.271047, 2.332882
13000000, 2.904293, 2.599675, 2.579241
14000000, 3.050344, 2.529323, 2.789508
15000000, 3.289398, 2.922490, 3.200235
0, 0.000000, 0.000821, 0.000001
1000000, 0.191760, 0.793322, 0.167530
2000000, 0.408359, 0.900766, 0.349740
3000000, 0.692017, 1.199725, 0.532080
4000000, 0.853695, 1.256691, 0.804444
5000000, 1.050942, 1.568245, 0.926888
6000000, 1.199000, 1.526005, 1.062268
7000000, 1.461963, 1.572596, 1.550674
8000000, 2.115004, 1.957553, 1.526671
9000000, 1.971621, 1.865371, 1.784877
10000000, 2.182349, 2.053691, 1.924653
11000000, 2.413870, 2.104871, 2.167055
12000000, 2.633639, 2.319288, 2.375514
13000000, 2.915222, 2.530437, 2.577560
14000000, 3.059888, 2.806423, 2.865475
15000000, 3.332749, 2.931817, 3.006171
0, 0.000000, 0.000752, 0.000001
1000000, 0.181978, 0.883578, 0.172693
2000000, 0.397222, 0.905396, 0.373416
3000000, 0.637335, 0.967188, 0.555281
4000000, 0.816987, 1.187555, 0.721999
5000000, 1.080053, 1.214732, 0.910210
6000000, 1.288672, 1.441860, 1.122832
7000000, 1.498073, 1.672064, 1.346146
8000000, 1.721702, 1.755115, 1.545891
9000000, 1.930286, 1.888857, 1.742820
10000000, 2.109508, 1.936494, 1.916920
11000000, 2.252112, 2.349720, 2.028054
12000000, 2.495522, 2.881660, 2.309934
13000000, 2.822013, 2.573313, 2.592908
14000000, 3.075399, 2.747089, 2.791762
15000000, 3.277208, 3.042945, 3.096622
0, 0.000000, 0.000606, 0.000000
1000000, 0.201076, 0.893931, 0.200204
2000000, 0.399305, 0.841014, 0.346462
3000000, 0.575465, 1.188658, 0.535788
4000000, 0.842294, 1.073707, 0.722965
5000000, 1.050951, 1.289770, 0.943870
6000000, 1.286935, 1.703026, 1.197321
7000000, 1.642733, 1.640293, 1.366163
8000000, 1.738398, 1.828231, 1.509197
9000000, 1.879010, 1.944491, 1.733617
10000000, 2.176511, 2.148380, 1.888809
11000000, 2.351133, 2.265636, 2.123576
12000000, 2.716385, 2.534366, 2.511592
13000000, 3.044007, 2.630708, 2.889570
14000000, 3.466955, 2.932012, 3.466308
15000000, 3.656921, 2.847622, 3.121119
0, 0.000000, 0.000764, 0.000001
1000000, 0.193321, 0.845558, 0.160781
2000000, 0.383932, 1.396551, 0.359867
3000000, 0.599614, 0.909452, 0.543977
4000000, 0.856480, 1.122564, 0.747044
5000000, 1.209007, 1.291891, 0.939329
6000000, 1.258922, 1.639561, 1.102095
7000000, 1.473536, 1.464278, 1.323893
8000000, 1.685953, 1.669719, 1.503139
9000000, 1.910991, 1.777375, 1.691146
10000000, 2.107372, 1.867189, 1.883434
11000000, 2.385377, 2.135645, 2.109364
12000000, 2.583009, 2.279636, 2.313051
13000000, 2.903156, 2.403189, 2.535397
14000000, 3.060063, 2.624865, 2.747620
15000000, 3.328898, 2.626196, 2.948892
